L,a,b,std_L,std_a,std_b,Label
137.34810000000002,130.07410000000002,127.6802,16.083038468834122,2.3160330718704962,13.470557819184766,4284
135.685,130.07670000000002,128.23860000000002,16.002730235806613,2.28884623992072,13.393978872612808,4284
135.0061,130.0902,128.5809,16.258445890982333,2.2686260070801216,13.714629239975752,4284
133.92000000000002,130.12810000000002,129.3004,16.59316726848727,2.178231023099823,13.672364822517098,4284
131.97660000000002,130.2686,129.20850000000002,16.397153790825893,1.7552931493062969,12.080762713918265,4284
132.2139,130.25820000000002,129.2699,16.373159340518374,1.8204759707271938,12.412689232797277,4284
133.6578,130.35420000000002,128.2587,15.915410744306818,2.0062258995418647,12.454371694710236,4284
135.6183,130.294,126.91420000000001,15.305267234191046,2.0645009082090806,11.90505095999165,4284
136.1048,130.3086,126.5873,15.395525874746804,1.9656464687217166,11.446893845493648,4284
142.9119,126.9299,136.083,8.797587077716235,1.874136064964209,11.683351873499342,4284
137.673,127.3829,131.9597,13.20407781709876,1.8402955170298851,10.548994071000399,4284
131.2895,127.7654,130.14000000000001,16.784447853593498,2.244941611712997,12.56113848343365,4284
106.7904,128.4675,141.1895,26.719297667416352,2.057168867642445,13.154915041534835,4284
110.8069,131.94660000000002,139.36610000000002,16.143457262618817,1.2105983809651626,8.975481646685928,4284
110.455,137.2878,136.5311,14.306452215696277,1.1688332473025373,8.249268621520214,4284
110.29010000000001,137.548,136.3377,14.277833939011852,1.245269448753331,8.47403438215824,4284
120.54830000000001,137.1585,136.95340000000002,14.876319004041182,1.2921214145733393,9.112685029122591,4284
128.4283,138.0173,139.7717,13.22569692341382,1.8269101537846422,12.259664722576959,4284
130.585,137.1933,138.17950000000002,12.54504583491021,1.9577883210407978,12.391468022393301,4284
126.9486,135.3025,136.2944,21.80379228574698,2.51646453382471,16.176054173994356,4284
140.0371,136.5837,121.0673,13.901551121727342,3.105735711551214,14.573941495353981,4284
108.0312,134.62550000000002,140.60330000000002,27.421758268936767,2.008544186717103,13.686896255542973,4284
108.2543,136.2404,145.46200000000002,24.460270470908544,1.3069842539226344,8.669080458733676,4284
115.60600000000001,138.437,143.56130000000002,22.07970026970471,1.216318626017094,8.610437985956215,4284
122.6679,137.6698,143.0529,12.720833682978425,0.9617525461363625,6.100532893936622,4284
133.0369,134.1676,139.3749,11.727648459516567,1.7980851592742024,10.408301974385843,4284
150.3492,133.8474,121.0608,3.613289271564053,2.500342624522202,11.499978406936282,4284
145.2229,129.10500000000002,132.9065,12.869188614283331,3.0105439707796835,17.87217272046133,4284
137.98260000000002,126.7937,144.2495,17.822780289281265,2.356170687789795,15.755362571200873,4284
144.5959,131.2227,133.4811,13.64120240997842,3.1154942962557097,18.83752751265422,4284
147.9383,134.1231,126.2474,10.642043652889447,3.355316138607861,19.656026893550994,4284
147.9239,135.627,125.4603,9.722854971149125,3.133954530621259,18.728161252776566,4284
142.9704,134.531,130.0645,11.533200936426756,2.9508031110189967,17.076830494854622,4284
135.8675,132.1559,135.4493,15.689740079108985,2.6032662541509057,15.386033586015698,4284
131.0712,129.2093,139.8411,18.37529674753582,2.3175188262442825,13.887600613136856,4284
134.0661,126.7245,141.21380000000002,15.87757950035197,1.5325141924299646,10.853132707195503,4284
139.27030000000002,132.3416,131.9068,12.808178555516715,1.9573730967814182,11.919006408253944,4284
142.6774,167.6078,130.9647,1.5742074958531582,0.8011112032668838,5.965421519893236,4284
125.6284,175.2203,141.9086,12.61174505926921,3.077688728574844,7.867302335616805,4284
109.0891,171.3211,141.0123,12.398829024952317,3.129376102356683,7.438033927725846,4284
103.9243,170.11180000000002,141.9254,11.677695385220543,2.954539009726948,7.7656831534644075,4284
100.4371,168.7093,142.3565,11.88847524243546,2.972909939772298,7.514706098710469,4284
114.14150000000001,171.137,135.4719,14.00800049079094,3.3138242258756208,7.491636028932611,4284
118.4928,171.2093,132.6243,12.23480887304745,2.8590721414468314,7.038135371673304,4284
123.00420000000001,169.37210000000002,129.4103,9.18913392872246,1.9940515514883639,5.714888792443723,4284
120.05000000000001,165.8423,131.8118,9.532811757293757,2.122835535316801,8.644985873903918,4284
119.4518,164.8968,133.95850000000002,9.763302553951691,2.0262649777355644,9.123013633114777,4284
110.6692,161.16910000000001,141.8264,15.04384164234656,2.7004268532948847,10.101636651553083,4284
118.7941,160.05,134.9036,14.00630233823332,2.5796317566661626,10.522704359621482,4284
117.86460000000001,159.65120000000002,135.0321,14.667953737314484,2.578631140740563,10.461485056625397,4284
108.64670000000001,156.37390000000002,137.6663,17.049852759188223,2.590810450417577,11.007976394869358,4284
105.8751,151.5735,134.49970000000002,15.4723462988003,2.222025596162192,11.123209964304214,4284
106.79090000000001,150.3073,132.5303,19.92680047549025,2.5214017351472955,12.43902254640614,4284
110.25070000000001,154.9776,135.0092,19.19140561579581,2.808184153505883,12.004412328806586,4284
126.3584,161.2451,129.18280000000001,11.630389049382714,2.278908947280956,8.517921352066878,4284
128.125,161.5963,126.99900000000001,10.008425200799559,1.9039239244255177,7.99768710315661,4284
126.17,165.9993,131.1353,10.201279331534845,2.1816277203044407,7.461527585554977,4284
125.84410000000001,168.2156,131.18540000000002,11.160196915377359,2.3290591748600202,7.57800942464431,4284
122.8857,166.07850000000002,132.4806,12.187175042231917,2.5428994769743563,9.066080941619608,4284
119.7942,155.3861,131.9735,12.641330877720087,2.2415233190849473,10.273820990751267,4284
123.40960000000001,147.4419,126.424,14.266226825618554,2.3360702878980746,12.071703442348126,4284
122.9244,141.35500000000002,125.739,16.14856292801312,2.191614701537121,11.862372401842702,4284
120.3956,145.7544,128.3595,12.640977044516776,1.815180608093353,9.561216436730366,4284
116.9337,141.8492,129.3271,14.200707880595248,1.8004053321416897,10.150108649172182,4284
92.2386,132.8657,145.3127,16.25350639216043,1.1675887589388019,11.038447296155331,4284
110.2959,131.3403,141.05870000000002,23.948940335430308,1.6012794603061287,15.567172328653552,4284
110.9681,134.8321,148.3598,18.352162880434513,1.350447921987502,12.775709137265078,4284
112.90100000000001,135.9061,146.07410000000002,15.690678729742661,1.1052976024587533,9.113956834986503,4284
117.72980000000001,134.2019,146.1046,15.583189402686424,1.0890070660945763,9.249057186545993,4284
131.1558,132.67520000000002,137.4926,15.68656515493446,2.762481666906725,15.759807906189696,4284
146.03570000000002,130.8123,119.0506,18.262979644899016,2.9150761070686424,15.077016934393908,4284
